##########################
C: 0.3 | tow: 0.1
27 ) MCTS conf: 0.33 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [5, 5, 0, 1, 2, 2, 3, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
28 ) MCTS conf: 0.07 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [12, 13, 14, 13, 14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 17]
29 ) MCTS conf: 0.25 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 19, 14, 13, 12, 11, 10, 15, 15]
30 ) MCTS conf: 0.34 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [9, 4, 3, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
31 ) MCTS conf: 0.29 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [1, 2, 2, 7]
32 ) MCTS conf: 0.34 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [5, 0, 1, 2, 2, 3, 3, 4, 9, 14, 19, 19, 24, 23, 22, 23, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
33 ) MCTS conf: 0.16 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [12, 13, 18]
34 ) MCTS conf: 0.34 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [5, 0, 1, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 22, 23, 24, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
35 ) MCTS conf: 0.28 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [24, 19, 14, 9, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 11, 10, 15, 15]
36 ) MCTS conf: 0.33 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [5, 0, 1, 2, 1, 2, 3, 4, 4, 9, 14, 19, 24, 23, 22, 17]
37 ) MCTS conf: 0.22 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [24, 19, 14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 19, 24, 23, 22, 17]
38 ) MCTS conf: 0.09 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [23, 24, 19, 14, 9, 4, 3, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 23, 24, 19, 14, 13, 12, 11, 10, 11, 10, 15]
39 ) MCTS conf: 0.06 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [23, 24, 19, 14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 18]
40 ) MCTS conf: 0.22 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [13, 14, 9, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
