##########################
C: 0.3 | tow: 0.1
29 ) MCTS conf: 0.43 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [1, 2, 2, 7]
30 ) MCTS conf: 0.25 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [5, 5, 0, 1, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
31 ) MCTS conf: 0.34 , det: 0.99 | LTL [---]  LDBA [ 0.0 ] path: [14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 24, 23, 22, 17]
32 ) MCTS conf: 0.34 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [19, 14, 9, 4, 3, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 13, 12, 11, 10, 15, 15]
33 ) MCTS conf: 0.34 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [4, 3, 2, 2, 3, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 7]
34 ) MCTS conf: 0.41 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 19, 14, 13, 12, 11, 10, 15, 15]
35 ) MCTS conf: 0.34 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [0, 1, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
36 ) MCTS conf: 0.23 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [12, 13, 14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 19, 18]
37 ) MCTS conf: 0.12 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [11, 11, 11, 10, 5, 5, 0, 1, 2, 2, 3, 3, 4, 9, 14, 19, 24, 23, 18]
38 ) MCTS conf: -0.47 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [23, 22, 23, 22, 21]
39 ) MCTS conf: 0.34 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [10, 5, 0, 1, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
40 ) MCTS conf: 0.37 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [0, 1, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
